chr22	42486661	42536651
chr22	25664649	25903811
chr22	17541671	17635449
chr22	20659546	20671518
chr22	41568381	41635426
chr22	48896155	49147231
chr22	47465161	47641075
chr22	18661698	19010531
chr22	17267392	17290275
chr22	49192161	50003999
chr22	29079236	29115517
chr22	20717653	25066484
chr22	51080646	51121542
chr22	20127283	20144076
chr22	19711076	19712255
chr22	51163624	51193680
chr22	51123490	51157531
chr22	46579242	47187644
chr22	50807315	51066468
chr22	36642105	36677580
chr22	41647928	41655673
chr22	47909995	48032407
chr22	41223047	41330352
chr22	19317113	19319816
