chr22	20311612	21712996
chr22	18506960	18552639
chr22	22728410	23649562
chr22	21998148	22053776
chr22	25649277	25992726
chr22	42762224	42961807
chr22	28873372	28943898
chr22	16087693	16465974
chr22	39323588	39407494
chr22	17500415	17515337
chr22	22313354	22588368
chr22	42522606	42540449
chr22	50968847	50976445
chr22	51032757	51061541
chr22	49843983	49898417
chr22	33932069	34315594
chr22	43299982	43442328
chr22	18597290	19035282
chr22	24328564	24385948
chr22	34934366	35320912
chr22	27019156	27061978
chr22	50922385	50941373
chr22	46977195	48667771
chr22	50618652	50637994
