chr1	145611278	145799615
chr1	243684044	243694734
chr1	148004765	149817768
chr1	147897666	147909429
chr1	145112505	145368847
chr1	9328652	9389926
chr1	2736694	2922757
chr1	47902504	47905928
chr1	108811025	108968534
chr1	2590843	2605254
chr1	121350691	143646672
chr1	247846230	248684909
chr1	155184359	155207954
chr1	913630	1008286
chr1	196744920	196799306
chr1	246365604	246606790
chr1	16350392	16358988
chr1	16941652	17123781
chr1	12839473	13757756
chr1	104161000	104211072
chr1	16364297	16384554
chr1	231749665	231813921
