chr17	56998236	57134239
chr17	31998115	32923001
chr17	30216269	30224964
chr17	79817154	79849387
chr17	79495581	79514678
chr17	18991356	19088770
chr17	2804894	3058762
chr17	79119182	79225629
chr17	2502876	2528288
chr17	34431766	34790268
chr17	41399891	41926753
chr17	36891707	36912092
chr17	1061433	1277244
chr17	45599997	45662523
chr17	25270397	26093532
chr17	19947874	19986611
chr17	20088374	20219405
chr17	76193187	76220266
chr17	14368262	14423007
chr17	15688145	16727265
chr17	66673046	67239694
chr17	52582240	53041465
chr17	70744801	71051043
chr17	37192289	37850932
chr17	5441310	5711877
chr17	17208129	17271047
chr17	80869489	81085615
chr17	21381526	22263006
chr17	15633425	15674162
chr17	68085257	69107565
chr17	36059103	36244358
chr17	73929151	73955205
chr17	2081670	2127016
chr17	79247324	79304306
chr17	17651915	18454952
chr17	57229065	57624963
chr17	36474600	36552916
chr17	751194	912680
chr17	70117098	70120373
chr17	34205639	34245061
chr17	3071663	5257768
chr17	27392815	27422695
chr17	524	678826
chr17	61949399	61973673
chr17	38543534	38785943
chr17	65990512	66123764
chr17	15339666	15592758
chr17	59419930	59500353
chr17	16904459	17027262
chr17	34849848	34906608
chr17	40690376	40705781
chr17	33515100	33520981
chr17	71801554	72728262
chr17	8801490	8992225
chr17	26610150	27231415
chr17	44156472	44787924
chr17	7580558	7585917
chr17	18605286	18925454
