PATH_LIST	PARAMETERS	DIRECTION	BENIGN_SC	PATHOGENIC_SC	INTERSECTION	UNION	MINIMUM	ONE_OVERLAP	RANK_BENIGN_SC	RANK_ONE_OVERLAP	AVG_RANKED_SCORES
CLINGEN+DECIPHER_hg19.BED	1_30_0.001_N	GAIN	241879702	49125029	29472596	261532135	49125029	0.400049290556144	1.0	0.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_30_0.002_N	GAIN	241879702	49125029	29472596	261532135	49125029	0.400049290556144	1.0	0.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_30_0.003_N	GAIN	241879702	49125029	29472596	261532135	49125029	0.400049290556144	1.0	0.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_30_0.004_N	GAIN	224945990	49125029	27372774	246698245	49125029	0.44279373351616746	0.45696553439457427	0.6678568248031241	0.5624111795988492
CLINGEN+DECIPHER_hg19.BED	1_30_0.005_N	GAIN	224945990	49125029	27372774	246698245	49125029	0.44279373351616746	0.45696553439457427	0.6678568248031241	0.5624111795988492
CLINGEN+DECIPHER_hg19.BED	1_30_0.006_N	GAIN	213180151	49125029	26351144	235954036	49125029	0.4635902606795408	0.07965569862055868	0.9927903515133015	0.5362230250669301
CLINGEN+DECIPHER_hg19.BED	1_30_0.007_N	GAIN	210696208	49125029	26328476	233492761	49125029	0.4640516955216454	0.0	1.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_30_0.008_N	GAIN	210696208	49125029	26328476	233492761	49125029	0.4640516955216454	0.0	1.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_30_0.009_N	GAIN	210696208	49125029	26328476	233492761	49125029	0.4640516955216454	0.0	1.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_30_0.001_N	LOSS	3657463	34136336	19220	37774579	3657463	0.9947449912685378	0.0	1.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_30_0.002_N	LOSS	3657463	34136336	19220	37774579	3657463	0.9947449912685378	0.0	1.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_30_0.003_N	LOSS	3657463	34136336	19220	37774579	3657463	0.9947449912685378	0.0	1.0	0.5
CLINGEN+DECIPHER_hg19.BED	1_30_0.004_N	LOSS	4520336	34136336	63833	38592839	4520336	0.9858787045918711	0.512494409543896	0.5221185497103554	0.5173064796271257
CLINGEN+DECIPHER_hg19.BED	1_30_0.005_N	LOSS	4520336	34136336	63833	38592839	4520336	0.9858787045918711	0.512494409543896	0.5221185497103554	0.5173064796271257
CLINGEN+DECIPHER_hg19.BED	1_30_0.006_N	LOSS	5341136	34136336	124103	39353369	5341136	0.9767646807720305	1.0	0.030884385980693048	0.5154421929903465
CLINGEN+DECIPHER_hg19.BED	1_30_0.007_N	LOSS	5212588	34136336	124103	39224821	5212588	0.9761916729271525	0.9236502575024961	0.0	0.46182512875124804
CLINGEN+DECIPHER_hg19.BED	1_30_0.008_N	LOSS	5212588	34136336	124103	39224821	5212588	0.9761916729271525	0.9236502575024961	0.0	0.46182512875124804
CLINGEN+DECIPHER_hg19.BED	1_30_0.009_N	LOSS	5212588	34136336	124103	39224821	5212588	0.9761916729271525	0.9236502575024961	0.0	0.46182512875124804
MorbidMap_hg19.BED	1_30_0.001_N	GAIN	241879702	29303101	20956240	250226563	29303101	0.2848456550724785	1.0	0.0	0.5
MorbidMap_hg19.BED	1_30_0.002_N	GAIN	241879702	29303101	20956240	250226563	29303101	0.2848456550724785	1.0	0.0	0.5
MorbidMap_hg19.BED	1_30_0.003_N	GAIN	241879702	29303101	20956240	250226563	29303101	0.2848456550724785	1.0	0.0	0.5
